City_names,States,Santuary_cities,Anti_immigration_ordinances,Municipal_ID,Driver_license,Education_equity,Citizenship_support,Non-citizen_voting,County_ordinances,City_fund,County_fund,Total,County_names,OEO_fund,Total_pop,Black_pop,Asian_pop,Latino_pop,Asian_per,Latino_per,A2B,L2B,election_1980
FALLS CHURCH,VA,0,0,0,0,0,0,0,0,0,25287700,25287700,ARLINGTON,0.472532839,152599,13852,6631,8863,4.345375789,5.808032818,0.4787034363,0.6398354028,53.79
ALEXANDRIA,VA,1,0,0,0,0,0,0,0,18512210,0,18512210,FAIRFAX,0,596901,34618,22725,19535,3.807164002,3.27273702,0.6564504015,0.5643018083,65.11
RESTON,VA,0,0,0,0,0,0,0,0,0,48672195,48672195,FAIRFAX,0,596901,34618,22725,19535,3.807164002,3.27273702,0.6564504015,0.5643018083,65.11
SPRINGFIELD,VA,0,0,0,0,0,0,0,0,0,48672195,48672195,FAIRFAX,0,596901,34618,22725,19535,3.807164002,3.27273702,0.6564504015,0.5643018083,65.11
HARRISONBURG,VA,0,0,0,0,0,0,0,0,NA,NA,NA,ROCKINGHAM,0,57038,778,144,415,0.2524632701,0.7275851187,0.1850899743,0.5334190231,68.28
VANCOUVER,WA,0,0,0,1,1,0,0,0,1622000,5732000,7354000,CLARK,10.45366669,192227,1670,2294,3059,1.193380743,1.59134773,1.373652695,1.831736527,52.07
PASCO,WA,0,0,0,1,1,0,0,0,3434000,0,3434000,FRANKLIN,121.1165085,35025,1441,330,5412,0.9421841542,15.45182013,0.2290076336,3.755725191,66.33
MERCER ISLAND,WA,0,0,0,1,1,0,0,0,0,68062464,68062464,KING,13.87168407,1269749,55225,58712,26631,4.623905985,2.097343648,1.063141693,0.4822272522,53.7
SEATTLE,WA,1,0,0,1,1,1,0,0,193152704,68062464,261215168,KING,13.87168407,1269749,55225,58712,26631,4.623905985,2.097343648,1.063141693,0.4822272522,53.7
LAKEWOOD,WA,0,0,0,1,1,0,0,0,0,37107727,37107727,PIERCE,16.40245628,485643,29334,14622,12892,3.010853652,2.654624899,0.498465944,0.4394900116,58.34
TACOMA,WA,0,0,0,1,1,0,0,0,51188764,37107727,88296491,PIERCE,16.40245628,485643,29334,14622,12892,3.010853652,2.654624899,0.498465944,0.4394900116,58.34
OLYMPIA,WA,1,0,0,1,1,0,0,0,2648533,0,2648533,THURSTON,38.26024246,124264,1002,2439,2577,1.962756712,2.073810597,2.434131737,2.571856287,56.25
GREEN BAY,WI,0,0,0,0,0,0,0,0,17099086,279000,17378086,BROWN,0.328047812,175280,497,568,906,0.3240529439,0.5168872661,1.142857143,1.822937626,61.23
MADISON,WI,1,0,0,0,0,1,0,0,33013986,0,33013986,DANE,54.72421646,323545,5648,3310,3280,1.023041617,1.013769337,0.5860481586,0.5807365439,40.2
CUDAHY,WI,0,0,0,0,0,0,0,0,0,17288674,17288674,MILWAUKEE,10.53548813,964988,148307,5745,29343,0.5953441908,3.040763201,0.03873721402,0.197853102,43.3
MILWAUKEE,WI,1,0,0,0,0,0,0,0,279561790,17288674,296850464,MILWAUKEE,10.53548813,964988,148307,5745,29343,0.5953441908,3.040763201,0.03873721402,0.197853102,43.3
BELOIT,WI,0,0,0,0,0,0,0,0,9346755,0,9346755,ROCK,13.86160946,139420,4660,539,958,0.3866016353,0.6871324057,0.1156652361,0.2055793991,55.58
JACKSON,WY,0,0,0,0,0,0,0,0,0,25000,25000,TETON,0,NA,NA,NA,NA,NA,NA,NA,NA,68.82
,,, ,,,,,,,,,,,,,,,,,,,,
